id,created_at,retweets,text
870547138006048769,2017-06-02 07:46:26,1,"RT @LeLeBronBot: LeBad
https://t.co/BdnB1iqHgZ"
870385069315182592,2017-06-01 21:02:26,1,"RT @LeLeBronBot: LeSustainableDiet
https://t.co/UK92RcDK1T"
858015384099708928,2017-04-28 17:49:43,2,RT @maartenzam: Right up my 7 year old's alley. Great! https://t.co/00lLA6oIkM
850113131762155521,2017-04-06 22:28:59,4788,RT @DennysDiner: waffles in 2017 will now have stories https://t.co/7ouQS75PSq
835562894628511744,2017-02-25 18:51:32,1,RT @John_M_Nelson: I hope you find inspiration in @JayMahabal's story of creative awakening at #aCartographersStory! https://t.co/XxwimGrjEx
835010870996410368,2017-02-24 06:18:00,12,RT @ChrisNF: Seeing Theory - amazing interactive viz to explain stats and probability https://t.co/Xhf2KRrj2Z (by an undergrad! https://t.c…
820693759675371520,2017-01-15 18:06:54,30,RT @rougeux: Had some fun visualizing first sentences from each chapter of classic stories as constellations. https://t.co/zxIMhpiu59 https…
819280751048830976,2017-01-11 20:32:07,8,RT @h2oai: A neat way to visualize all 873 football games #fbs #collegefootball #2016 #CFP #clemson #alabama @h2oai https://t.co/iVrgRwzfOd…
818934485790003200,2017-01-10 21:36:11,5,"RT @maartenzam: Indeed awesome stuff, by @nrabinowitz https://t.co/hs9i5EyYRO"
809489319446462464,2016-12-15 20:04:27,553,"RT @googledevs: Land Lines, an experiment exploring @GoogleEarth satellite images through gesture. Doodle to begin https://t.co/gqd15IV5SW…"
801840232425345024,2016-11-24 17:29:43,3420,"RT @andrestaltz: Announcing https://t.co/fvgsLahOor, an interactive calculator for matrices.

Tell your high school and college friends :)…"
801168656407281664,2016-11-22 21:01:07,2,RT @kristw: Not another election map. Just painting. https://t.co/MRI27KZBM4 https://t.co/0dW0pxzZaB
798270984843239424,2016-11-14 21:06:48,12,"RT @dailycal: Last year, only about 19 percent of EECS applicants were female.

https://t.co/aBWLM0Z2uy"
797871932406276096,2016-11-13 18:41:07,39,"RT @wallacetim: Trump's America
A vast landmass eroded on its edges.
Illustration of majority Trump voter areas.
Print today, web tomorrow.…"
786675343088312320,2016-10-13 21:09:52,2764,RT @ziyatong: This dog-duck game of hide &amp; seek just made my day. https://t.co/V2OOLBIeim
783723138680893440,2016-10-05 17:38:51,11,"RT @eagereyes: I thought I had seen all the Periodic Table nonsense, but a Periodic Table CARTOGRAM clearly takes the cake. https://t.co/7O…"
783012715144949760,2016-10-03 18:35:53,27,RT @ECONdailycharts: Greying of the Nobel laureates https://t.co/aPcQc35ArI https://t.co/sKoCSgfxbU
781976888738582528,2016-09-30 21:59:53,12,RT @infowetrust: Checkout this real life #infographic spotted at #MonumentValley that shows what plants these beautiful #Navajo colors come…
781243702308069376,2016-09-28 21:26:28,29,RT @matthew_daniels: NEW SHIT is so 🔥🔥🔥 I can barely contain myself https://t.co/OXIsRt7yMh
780511578395246593,2016-09-26 20:57:16,18,RT @veltman: Interesting @DKElections cartogram approach to turn the Mountain West into into Rocky Mountain Bay: https://t.co/hq6iQj6m3z ht…
780173444855975936,2016-09-25 22:33:38,84,RT @maartenzam: Gallery of beautiful animated isochrone maps https://t.co/wjGUkyRTH6 https://t.co/5ueBlQhHCz
780121680672727040,2016-09-25 19:07:57,1023,"RT @feitclub: Garfield x Pokemon = GARFEMON (avert your eyes, or click the link for more) https://t.co/9naezNc7T7 https://t.co/1oK1yYLXIc"
779031145266589697,2016-09-22 18:54:33,15,RT @eagereyes: Insane to use ZIP codes for this. It’s not what they’re for. How ZIP codes nearly masked the lead problem in Flint https://t…
779023576607227905,2016-09-22 18:24:28,255,"RT @pitchinc: Announcing tilegrams: a free, open-source tool for editing tiled cartograms, to make more human maps
https://t.co/pNDxTZL1ce…"
772517501729058816,2016-09-04 19:31:39,2194,"RT @clementattlees: If olive oil is made from olives and peanut oil is made from peanuts, what do you suppose baby oil is made from? https:…"
